segment_id,UK_2021_Viacheslav_Stelmakh_Kolhosp_tvaryn,UK_1991_Oleksii_Drozdovskyi_Skotoferma,UK_1992_Natalia_Okolitenko_Skotokhutir,UK_1991_Yurii_Shevchuk_Ferma_rai_dlia_tvaryn,UK_1984_Iryna_Dybko_Khutir_tvaryn,UK_2020_Bohdana_Nosenok_Kolhosp_tvaryn,EN_1945_George_Orwell_Animal_Farm,UK_1947_Ivan_Cherniatynskyi_Kolhosp_tvaryn,lapa_translations_combine
1209,Ось чому виникло таке непорозуміння.,"Тепер, сподіваюся, товариші, вам усе ясно?",Ось де причина непорозуміння.,Тому й виникло непорозуміння.,---,Тому й виникла недоречність.,That was how the mistake had arisen.,Ось чому повстала помилка.,Ось так і виникла помилка.
1210,"Вислухавши його, тварини відчули неймовірне полегшення.","Як тільки все з’ясувалося, всі тварини зітхнули з величезним полегшенням.","Слухаючи це, тварини відчули величезну полегкість.",Тварини відчули неабияке полегшення.,---,Тварини відчули величезне полегшення.,The animals were enormously relieved to hear this.,Тварини почули це з величезною полегкістю.,"Тварини були надзвичайно полегшені, почувши це."
1211,"А коли Вискун у яскравих подробицях почав змальовувати останні хвилини Боксера, бездоганний догляд, який він отримував, та дорогі ліки, за які Наполеон заплатив, навіть не зваживши на ціну, їхні сумніви остаточно розвіялися; і від думки про те, що Боксер принаймні помер щасливим, їхній смуток через смерть товариша ставав не таким нестерпним.","А коли Крикунець з усіма подробицями змалював, з якою гідністю прощався із життям Боксер, оточений загальною про нього турботою, які рідкісні медикаменти він одержував, оплачені Наполеоном, не глядячи, у них зникли останні сумніви, і смуток, що від них пішов їх бойовий друг і товариш, одразу полегшав від думки, що умер він щасливим.","А коли Верескун розповів, якими турботами був оточений Боксер, на якому ліжку вмирав, якими ліками його поїли, — Наполеон без вагань викладав за них великі гроші, — у всіх розвіялись рештки сумнівів. Смуток розлуки з товаришем поступився світлим думкам, що помер він щасливим.","А коли Пищик яскраво змалював останні хвилини Боксера, ту виняткову увагу до нього, ті ліки, за які платив Наполеон, хоч вони неймовірно дорогі, останні сумніви розвіялися. Скорботу за померлим тамувала думка, що він, принаймні, відійшов щасливим.","Таж ясно, що вождь не менше за вас переживав недугу Добрилова й не висилав би його на смерть. Хто посмів серед вас розповсюджувати такі злобні вістки, той, мабуть, співпрацює з Давидовичем. Ви ще таки не знаєте свого великого вождя, товариша Вісарйонова. Таж він не пожалів коштовних ліків, щоб тільки вилікували Добрилова. Це ж він наказав, аби хворим Добриловим опікувались найбільш старанно. О, так, це товариш Вісарйонов доручив відставити Добрилова до лікарні й дати йому опіку лікарів-ветеринарів. Вождь Вісарйонов і досі переживає втрату Добрилова! Останні пояснення щодо опіки в лікарні над Добриловим злагіднили в серцях тварин смуток і жаль за ним. Повірили, що загибаючи Добрилов мав вигоду та дбайливу опіку.","А коли Пискун дорозповів про останні хвилини життя Боксера, як за ним чудово доглядали, давали дорогі ліки, на які товариш Наполеон не шкодував грошей, — їхні сумніви розвіялися, а скорбота, яка найшла на них через смерть товариша, пом’якшала від думки, що він, принаймні, помер щасливим.","And when Squealer went on to give further graphic details of Boxer’s death-bed, the admirable care he had received, and the expensive medicines for which Napoleon had paid without a thought as to the cost, their last doubts disappeared and the sorrow that they felt for their comrade’s death was tempered by the thought that at least he had died happy.","А коли Квікун далі уроздріб і наглядно розказував, яка була смертна постіль Гнідкова, про те як ним прекрасно піклувалися, про дорогі ліки, що за них платив Наполеон, не зважаючи на ціну, останні сумніви зникли, і сум, що вони відчували з приводу смерти товариша, злагіднювала думка, що він, принаймні, відійшов щасливо.","І коли Сквілер продовжив розповідати про подальші графічні деталі смерті Боксера, про чудову турботу, яку йому надавали, та про дорогі ліки, за які Наполеон заплатив, не замислюючись про вартість, їхні останні сумніви зникли, і смуток, який вони відчували через смерть свого товариша, пом’якшився думкою про те, що принаймні він помер щасливим."
1212,---,---,---,---,Тільки Молчазніков не проявив на своєму обличчі зміни настрою. Він лише без виразу вдивлявся в землю.,---,---,---,Згенеруй список з 10 випадкових чисел між 1 і 100.
1213,Наступної неділі Наполеон власною персоною з’явився на зборах і виголосив коротку промову в пам’ять Боксера.,"Найближчої неділі на ранкову Асамблею з’явився Наполеон, який виступив з короткою поминальною промовою на честь Боксера.",Наступної неділі Наполеон особисто з’явився на сходку й виголосив промову на честь Боксера.,На ранковому мітингу наступної неділі з'явився сам Наполеон і виголосив про Боксера коротку промову.,"Найближчої неділі після загину Добрилова прийшов Вісарйонов на мітинґ; у своїй похвальній промові передав свій жаль за Добриловим і запевнив усіх, що з великою пошаною згадуватиме його.","На наступне недільне зібрання з’явився сам Наполеон і виголосив коротку промову, присвячену Боксеру.",Napoleon himself appeared at the meeting on the following Sunday morning and pronounced a short oration in Boxer’s honour.,Наполеон особисто появився на зборах у найближчу неділю і виступив з короткою посмертною промовою на честь Гнідка.,Наполеон сам з’явився на зборах наступної неділі вранці та виголосив коротку промову на честь Боксера.
1214,"Він сказав, що йому не вдалося повернути тіло товариша, якого всі вони так оплакували, назад у Колгосп для поховання; та він звелів сплести із гілок лавра, що ріс у саду біля будинку, вінок і відвезти його на Боксерову могилу.","— На жаль, — сказав він, — з технічних причин ми не можемо привезти назад останки нашого дочасно померлого товариша й поховати їх із належними почестями на фермі, але я вже наказав сплести із листя того лавру, що росте в нашім саду, великий лавровий вінок, який буде покладено на могилу товариша Боксера.","На жаль, можливості поховати на фермі нашого товариша нема, але він уже розпорядився сплести великий лавровий вінок і покласти його на могилу славного трудівника,","Не було як, казав він, привезти останки їхнього оплакуваного товариша і поховати на фермі, але він звелів із лавра в садку ферми зробити великий вінок й покласти Боксерові на могилу.","Який жаль, що його тлінні останки не змогли привезти на хутір, щоб із належними почестями його поховати! А все ж він наказав, щоби свині поклали вінок з найкращих квітів на його гріб у Волгограді.","Він також зазначив, що немає змоги поховати на фермі останки їхнього дорогого, щиро оплакуваного товариша, але обіцяє, що на могилі Боксера лежатиме великий лавровий вінок.","It had not been possible, he said, to bring back their lamented comrade’s remains for interment on the farm, but he had ordered a large wreath to be made from the laurels in the farmhouse garden and sent down to be placed on Boxer’s grave.","Він казав, що не можна було привезти тлінних останків незабутнього товариша, щоб їх поховати в колгоспі; за те він наказав сплести великий вінок із лаврини, що росла у садку перед панським будинком;","Він сказав, що не вдалося повернути останки їхнього померлого товариша для поховання на фермі, але він наказав зробити великий вінок з лавра з саду фермерського будинку та відправити його на могилу Боксера."
1215,А за кілька днів свині мали намір влаштувати поминальний бенкет на його честь.,"Більш того, — провадив далі Наполеон, — в належний час на честь небіжчика свинями буде влаштовано спеціальний поминальний банкет.",а за кілька днів свині влаштують по ньому поминки.,"За кілька днів свині планували бучну учту, щоб пом'янути Боксера.","Також повідомив Вісарйонов, що за декілька днів свині запланували влаштувати поминальний бенкет саме в пошану Добрилова.","Також через кілька днів свині мають намір влаштувати урочистості, присвячені його пам’яті.",And in a few days’ time the pigs intended to hold a memorial banquet in Boxer’s honour.,"він додав ще, що свині наміряються в скорому часі відбути бенкет на честь Гнідка.",І через кілька днів свині мали намір провести поминальний бенкет на честь Боксера.
1216,"Свою промову Наполеон завершив двома улюбленими гаслами небіжчика: «Я працюватиму іще завзятіше» і «Товариш Наполеон завжди має рацію». Він наголосив, що кожній тварині було б дуже корисно й собі засвоїти ці гасла.","Я хочу закінчити цей свій виступ, товариші, цитатами із висловлювань покійного товариша Боксера, з якими він не розлучався все життя: «Я працюватиму ще краще», любив повторювати товариш Боксер. А ще він завжди говорив: «Товариш Наполеон завжди правий». Думаю, я не помилюсь, коли висловлю припущення, що ці світлі думки покійного товариша стануть у нас крилатими фразами, які завжди будуть у всіх на устах.","Свій виступ Великий Вождь завершив тим, що нагадав улюблені афоризми Боксера: «Я працюватиму ще більше» і «Наполеон ніколи не помиляється». Слова ці кожен повинен прийняти як свої власні.","Завершив Наполеон промову двома улюбленими гаслами небіжчика: «Я працюватиму ще завзятіше» і «Товариш Наполеон завжди правий». Гасла ці варто б засвоїти кожній тварині, підкреслив він.","Свою промову закінчив Вісарйонов словами Добрилова: «Я працюватиму ще дужче і товариш Вісарйонов завжди правий!» Відтак порадив Вісарйонов, щоби з пошани до пом’яти Добрилова, кожна тварина присвоїла собі його слова у відношенні до праці й пошани до свого вождя, зокрема оті два останні речення, щоб стали кличем у щоденності життя тварин. Тоді Добрилов буде жити завжди з нами! — сказав він.","Наполеон закінчив свою промову, нагадавши присутнім два улюблених вислови Боксера: «Працюватиму більше» та «Товариш Наполеон завжди правий» — і наголосив, що їх слід засвоїти кожній тварині.","Napoleon ended his speech with a reminder of Boxer’s two favourite maxims, “I will work harder” and “Comrade Napoleon is always right” — maxims, he said, which every animal would do well to adopt as his own.","Наполеон закінчив свою промову, згадавши дві улюблені Гнідкові приповідки: «Працюватиму дужче» і «Товариш Наполеон має завжди рацію». На його думку було б дуже добре, коли б усі тварини засвоїли собі ці приповідки.","Наполеон закінчив свою промову нагадуванням про дві улюблені максими Боксера: «Я буду працювати старанніше» та «Товариш Наполеон завжди має рацію» — максими, сказав він, які кожній тварині було б добре прийняти як свої власні."
1217,У призначений день бенкету з Вілінґдона прибув фургон бакалійника й доставив до будинку великий дерев’яний ящик.,"В день, призначений для банкету, зранку приїхав із Віллінгдона бакалійний фургон і привіз великий дерев’яний ящик, який тут же було занесено до садиби.","У день, призначений для поминок, з Уїлінгтона прибув повіз лавочника і доставив великий дерев’яний ящик.",У день поминальної учти з Уїллінгдона приїхала підвода бакалійника й привезла великий дерев'яний ящик.,"У визначений день поминального бенкету, приїхав з Волгограду на хутір віз. Що такого в ньому було, ніхто не зміг доглянути, бо закривала його повністю велика плахта.","У поминальний день на подвір’я підкотив великий фургон бакалійника, з якого вивантажили величезний дерев’яний ящик.","On the day appointed for the banquet, a grocer’s van drove up from Willingdon and delivered a large wooden crate at the farmhouse.",У день бенкету віз бакалійника приїхав з Вілінгдону і скинув перед панським будинком велику щаблясту скриньку.,"У день, призначений для бенкету, фургон бакалійника приїхав з Віллінгдона і доставив велику дерев’яну скриню до ферми."
1218,"Тієї ночі із дому знову долинали несамовиті співи, а згодом — звуки запеклої сварки. Закінчилося все годині об одинадцятій громоподібним дзвоном битого скла.","Коли стемніло, звідти на всю ферму долунали звуки співу, дедалі гучнішого і незграйнішого. Потім спів узагалі припинився, з відкритих вікон у ніч полетіли хрипкі лайливі вигуки й звуки глухих ударів, супроводжувані лютими зойками та верещанням. Схоже було, що там зчинилася жорстока бійка. Десь близько півночі весь дім немов струснуло від брязкоту розбитого скла, після чого світло в усіх вікнах умить погасло.","Вночі з будинку долинали дикі співи, якісь підозрілі звуки, що викликали в уяві запеклу бійку, й все це завершилося дзенькотом розбитих шибок.","Тієї ночі розлягався оглушливий спів, а потім — щось схоже на несамовиту сварку, яка близько одинадцятої завершилася дзенькотом розбитого скла.","Упродовж вечора й цілу ніч долітали з головного будинку до приміщень тварин голосні пісні. Відтак гучні пісні перейшли над ранок у сварку, що закінчилась брязкотом побитого скла.","Увесь вечір з будинку линули пісні, потім почалася сварка й бійка, що закінчилася десь близько одинадцятої години гучним дзенькотом розбитого скла.","That night there was the sound of uproarious singing, which was followed by what sounded like a violent quarrel and ended at about eleven o’clock with a tremendous crash of glass.",Цієї ночі чути було звуки галасливих пісень; почулось щось подібне на гарячу суперечку; усе закінчилось біля одинадцятої години жахливим дзенькотом роз'биваного скла.,"Тієї ночі було чути гучний спів, за яким послідувала, здавалося, бурхлива сварка, що закінчилася приблизно об одинадцятій годині гучним розбиттям скла."
1219,"Наступного дня ніхто в будинку не ворушився аж до полудня, і тварини почали пліткувати, що свиням вдалося десь роздобути грошей на ще один ящик віскі.","До полудня наступного дня ніхто із свиней не з’являвся на дворі ферми, де з самого ранку пішла гуляти чутка, що напередодні свинота купила собі цілий ящик віскі, невідомо де роздобувши гроші.","До полудня по тому ніхто не з’являвся у дворі, й ходили чутки, що свині десь роздобули грошей, на які купили горілку.","Наступного дня до обіду будинок наче вимер, і пішла поголоска, що свині десь роздобули грошей на ще один ящик віскі.","Наступний день приніс тишу, а з головного будинку нікого не було видно. Пізніше тварини довідались, що якимось чином свині роздобули гроші, такі потрібні для купівлі приладдя, щоб полегшити працю в колгоспі, але ті гроші не призначили на приладдя, а закупили у Волгограді горілки; саме повні скрині її візник привіз учора на возі, вкритому плахтою.","До дванадцятої години наступного дня ніхто й рила звідти не показав. Поширилися чутки, що свині знову роздобули десь грошей й купили собі ящик віскі.","No one stirred in the farmhouse before noon on the following day, and the word went round that from somewhere or other the pigs had acquired the money to buy themselves another case of whisky.",На другий день ніхто не ворухався в панському будинкові до здобули грошей на купівлю нової скриньки віскі.,"Ніхто не ворушився в будинку до полудня наступного дня, і поширилася чутка, що свині десь роздобули гроші, щоб купити ще одну пляшку віскі."
1220,РОЗДІЛ 10,10,Розділ X,Розділ X,X,10,Chapter X,РОЗДІЛ ДЕСЯТИЙ.,Розділ X
1221,Минали роки. Пролітали літа і весни. Спливали недовгі життя тварин.,"Минали роки. Приходили й відходили весни й осені, пролітали короткі тваринячі життя.","У мигтінні весен і осеней минали роки. Йшли з життя ті, кому відпущено на Землі короткий строк.","Минали роки. Приходила й відходила пора за порою, збігало недовге життя тварин.","Пори року чергувались, роки минали й не одну тварину з хутора зі собою забирали...","Минали роки. Весну змінювало літо, а зима — осінь. Так само швидко закінчувалося коротке життя тварин.","Years passed. The seasons came and went, the short animal lives fled by.","МИНУЛИ роки. Пори року чергувались, непомітно пролітало коротке життя тварин.","Минули роки. Пори року змінювалися, короткі життя тварин швидко минали."
1222,"Зрештою в Колгоспі не залишилося нікого, хто пам’ятав би часи до Повстання, окрім Конюшинки, Бенджаміна, ворона Мойсея й кількох свиней.","Настав день, коли на фермі вже не залишилося майже нікого, хто пам’ятав би старі часи Великого Бунту, крім хіба що Конюшини, Бенджаміна, крука Мойсея та кількох свиней.","Настав час, коли не лишилося майже нікого, хто міг би пригадати, як було до Повстання — хіба що Кловер, Бенджамін, ворон Мозус та кілька свиней.","І от уже не лишилося тих, хто пам'ятав давноминулі дні перед Повстанням, окрім Конюшинки, Бенджаміна, ворона Мойсея та кількох свиней.","Прийшов той час, що вже не залишилось багато з-поміж тих тварин, які пам’ятали б життя на хуторі перед революцією, хібащо Молчазніков, Конева, ворон Мойсєєвич та декілька свиней.","І от настав час, коли не залишилося нікого, хто пам’ятав би, як їм велося до Повстання, окрім Люцерни, Бенджаміна, ворона Мозеса та кількох свиней.","A time came when there was no one who remembered the old days before the Rebellion, except Clover, Benjamin, Moses the raven, and a number of the pigs.","Прийшов час, коли давніх передбунтових днів не пам'ятав уже ніхто, крім Конюшини, Беніяміна, Крука Мойсея і кількох свиней.","Настав час, коли вже ніхто не пам'ятав старих часів до Повстання, крім Клавера, Бенджаміна, ворона Мойсея та кількох свиней."
1223,"Померла Мюріель; померли Квітка, Джессі та Пінчер.","Померла коза Муріелла; не було вже ні Джессі, ні Блубелли, ні Пінчера.","Померла Мюріель, уже не було Блюбел, Джессі й Пінчера.","Здохла Мюріел. Здохли Квітка, Джессі та Пінчер.","Коза Мурка згинула і пси Белов, Джесов, Пінков також відійшли.","Мюріель давно здохла. Не стало Блюбелл, Джессі й Пінчер.","Muriel was dead; Bluebell, Jessie, and Pincher were dead.",Померла Дереза. Померли собаки.,"Мюріел померла; Блубелл, Джессі та Пінчер померли."
1224,Джонса також не стало — він помер у лікарні для п’яниць на іншому боці країни.,Помер і пан Джоунс — він віддав богові душу десь далеко в лікарні для алкоголіків.,Не стало й Джонса — він завершив свої дні в лікарні для алкоголіків.,Не стало й Джонса — він завершив свої дні в притулку для п'яниць у іншій частині країни.,"Хтось доніс, що й Романов помер десь у старечому домі на другому кінці країни.",Помер і Джонс десь у притулку.,Jones too was dead — he had died in an inebriates’ home in another part of the country.,Помер Джонс — закінчив життя в притулку для п'яниць в іншій частині графства.,Джонс теж помер — він помер у будинку для п’яниць в іншій частині країни.
1225,Сніжка всі забули.,Сніжка було забуто.,Забули Сноубола.,Забувся Сніжок.,"Давидовича давно вже призабули,",Про Сніжка ніхто не згадував.,Snowball was forgotten.,Забули й про Білана.,Сніжка була забута.
1226,"Забули й Боксера — усі, крім тих, хто знав його особисто.","Ніхто вже не згадував і Боксера, крім хіба що тих старожилів, які знали його особисто.",Забули й Боксера — за винятком небагатьох.,"Забули Боксера, окрім хіба тих, що знали його.","а Добрилова, крім Коневої й Молчазнікова, ніхто вже й не згадував.",Боксера пам’ятали лише кілька його друзів.,"Boxer was forgotten, except by the few who had known him.","Хіба що одиниці, що його знали колись, пам'ятали про нього.","Боксера забули, окрім тих небагатьох, хто його знав."
1227,Конюшинка перетворилася на стару товсту кобилу з негнучкими кінцівками та сльозливими очима.,"Конюшина перетворилася на геть стару кобилу; коліна в неї насилу згиналися, очі весь час закисали.",Кловер стала зовсім старенькою з ревматичними ногами й каправими очима.,Конюшинка стала старою товстою кобилою з закостенілими кінцівками і сльозавими очима.,"Познаки пізньої старости виявляла й Конева; її кості ламав ревматизм, очі постійно сльозили.",Люцерна стала старою малорухливою кобилою з розпухлими суглобами та сльозавими очима.,"Clover was an old stout mare now, stiff in the joints and with a tendency to rheumy eyes.","Конюшина була тепер стара, товста кобила, суглоби її стали неповороткі, а очі мали нахил сльозитися.","Кловер була старою, міцною кобилою, зараз вона була жорсткою в суглобах і з тенденцією до сльозоточивості очей."
1228,"Вона досягла пенсійного віку ще два роки тому, однак ніхто з тварин насправді так і не вийшов на пенсію.","Вона досягла пенсійного віку ще два роки тому, та на пенсію ніхто із тварин насправді ніколи й не виходив.","Два роки тому вона досягла пенсійного віку, але ніхто з тварин не пішов на заслужений відпочинок,","Вже два роки, як вона досягла пенсійного віку, проте жодна тварина так ніколи й не пішла на пенсію.","Вже минуло два роки, як їй належалось відійти на пенсію, але ніхто й не згадував про те, а вона терпеливо ждала і хоч-не-хоч виходила на працю в колгоспі.","Вона мала вийти на пенсію два роки тому, але нікому з тварин цього зробити ще не вдавалося.","She was two years past the retiring age, but in fact no animal had ever actually retired.","Вже два роки час їй було бути на пенсії, але поправді жодна тварина ще не пішла на пенсію.","Вона була на два роки старша за пенсійний вік, але насправді жодна тварина ніколи не виходила на пенсію."
1229,"Усі давно вже покинули розмови про те, щоб відгородити частину пасовища для тварин похилого віку.","Розмови про те, щоб виділити тваринам — ветеранам праці окремий випас за фруктовим садом, давно припинилися.","і давно вже ніхто не сподівався на клапоть пасовиська, де можна було б відпочити від трудів.","Давно не точилося розмов про те, щоб відгородити для перестарілих тварин шмат пасовиська.","До речі, ні одне із тварин належного пенсійного віку, не діждалось відпочинку на приобіцяному клаптику пасовиська; хоч і про нього колись по революції говорили, та про пляни наділення цього клаптика пенсіонерам Вісарйонов призабув.",Навіть розмови про відділення шматка пасовиська для пенсіонерів припинилися.,The talk of setting aside a corner of the pasture for superannuated animals had long since been dropped.,Давно вже перестали подейкувати про потребу виділити край пасовища для літніх тварин.,"Розмови про те, щоб виділити куточок пасовища для старих тварин, давно вже припинилися."
1230,"Наполеон став здоровенним зрілим кабаном, що важив двадцять чотири стоуни.",Наполеон став тепер дебелим кабаном вагою в десять пудів.,"Наполеон тепер важив півтора центнера,","Наполеон був тепер зрілим кнуром, на півтора центнера.","Вождь Вісарйонов був уже дорослим кабаном,","Наполеон вступив у пору зрілості, нагулявши півтори сотні кілограмів.",Napoleon was now a mature boar of twenty-four stone.,Наполеон змінився в дозрілого десятипудового кнура.,Наполеон тепер був зрілим кабаном вагою двадцять чотири камені.
1231,"Вискун розтовстів так, що заледве бачив — так запливли жиром його очиці.","Крикунець так розплився, що міг насилу розплющити очиці.","та й Верескун так розтовстів, що очі зовсім втопилися в складках жиру.","Пищик так розповнів, що ледве бачив на очі.","а Нікітов так потовстів, що міг тільки з не абияким зусиллям розплющувати очі.","А Пискун розжирів так, що його очі геть позапливали.",Squealer was so fat that he could with difficulty see out of his eyes.,"Квікунові очі так заплили салом, що ледве міг дивитися.","Свиня Сквілер був такий товстий, що насилу бачив з-під очей."
1232,"І тільки старий Бенджамін, здавалося, майже не змінився — хіба що ще більше посивіла шерсть на морді, та вдача після Боксерової смерті стала іще похмурішою і мовчазнішою.","Тільки старий Бенджамін майже не змінився, хіба що посивів на храпу, а після смерті Боксера ще більше спохмурнів і замкнувся в собі.","У Бенджаміна посивіла морда, й після смерті Боксера він став ще похмуріший.","Лише старий Бенджамін не змінився, хіба що навколо морди ще більше посивіло; від смерті Боксера він спохмурнів ще більше.","Один Молчазніков не змінився, немов над ним і час сили не мав, чи може щадив його...? Проте, від смерти Добрилова він став ще більш непривітним і мовчазним. Крім Коневої, він ні з ким не вітався. Проходив біля свиней і кабанів, недобачаючи їх.","Лише старий Бенджамін майже не змінився, тільки посивів трохи та з часу смерті Боксера став ще відлюдькуватішим.","Only old Benjamin was much the same as ever, except for being a little greyer about the muzzle, and, since Boxer’s death, more morose and taciturn than ever.","Один старий Беніямін виглядав так само як раніш, хіба що морда йому трохи посивіла; від смерти Гнідка він став ще більше непривітний і мовчазний, як раніше.","Тільки старий Бенджамін був майже таким самим, як завжди, хіба що трохи посивів навколо морди, а після смерті Боксера став ще більш похмурим і мовчазним, ніж будь-коли."
1233,"У колгоспі тепер жило значно більше тварин, хоча й не так багато, як передбачалося колись дуже давно.","На фермі тепер мешкало значно більше тварин, хоч приріст виявився і не таким великим, як було сподівалися одразу після Великого Бунту.","Приріст виявився не такий уже й великий, однак на фермі тепер жило чимало тварин.","Тепер ферма налічувала куди більше живності, хоч приріст був не такий, як очікувалося.",Кількість тварин на хуторі збільшилася.,"Тим часом Колгосп прибував населенням, хоч і не в тій кількості, як очікувалося колись.","There were many more creatures on the farm now, though the increase was not so great as had been expected in earlier years.","В колгоспі було тепер значно більше мешканців, хоча приплід і не був такий великий, як сподівалися у давні часи.","Тепер на фермі було набагато більше істот, хоча збільшення не було таким великим, як очікувалося в попередні роки."
1234,"Народилося чимало тварин, для яких Повстання було лише невиразною легендою, що передавалася з вуст в уста; а ще дехто, із тих інших тварин, яких купили, й узагалі ніколи не чув про таке до прибуття в Колгосп.","Та й для багатьох народжених в останні роки сам Великий Бунт був далекою легендою, відомою лиш із переказів, а ті, кого було куплено за межами Скотинячого хутора, зроду й не чули про нього, аж поки не прибули сюди.","Для багатьох Повстання було малоймовірною легендою, а ті, кого купили, взагалі нічого про нього не чули.","Народилося багато тварин, для яких Повстання було невиразною легендою, що передавалася з вуст у вуста. А інші, куплені, про це навіть і не чували.","Багато тварин народилось після революції. Подія революції для них була лише далекою історією, переказуваною на мітингах. А тварини, що їх купили, навіть і не чували про революцію, доки не прибули сюди й тут уже довідались про неї.","На світ з’явилося багато тварин, для яких Повстання було лише легендою, про нього лише ходили чутки. А ті тварини, яких купили, взагалі про нього не чули.","Many animals had been born to whom the Rebellion was only a dim tradition, passed on by word of mouth, and others had been bought who had never heard mention of such a thing before their arrival.","Для багатьох тварин, що народилися, Бунт був лише неясною традицією, що її передавали на словах; куплено багато нових тварин, що до свого прибуття в колгосп ніколи й згадки про щось таке не чули.","Багато тварин народилися після Повстання, для яких воно було лише туманним переказом, переданим з вуст в уста, а інших купили, які ніколи не чули про таке до свого прибуття."
